ds	y	pred
2021-05-16	19695.11229	0.149396637
2021-05-17	20173.43392	0.147766876
2021-05-18	23720.02737	0.151654822
2021-05-19	25693.36534	0.15249012
2021-05-20	26121.72205	0.153455259
2021-05-21	26541.17946	0.153614046
2021-05-22	25372.40244	0.144110769
2021-05-23	24315.0429	0.143201509
2021-05-24	24900.83016	0.115750486
2021-05-25	30923.37124	0.12560567
2021-05-26	29477.12655	0.131657367
2021-05-27	34916.70825	0.163844773
2021-05-28	33221.3203	0.172850358
2021-05-29	32151.76444	0.163778071
2021-05-30	31334.29797	0.165899658
2021-05-31	32551.46741	0.170669894
2021-06-01	20597.3604	0.114884301
2021-06-02	23513.70396	0.126396697
2021-06-03	25366.42037	0.122345686
2021-06-04	29328.65362	0.140629932
2021-06-05	25578.94004	0.130712202
2021-06-06	22572.93963	0.117945187
2021-06-07	28439.86485	0.14212684
2021-06-08	28624.41657	0.140085725
2021-06-09	24272.44508	0.124341446
2021-06-10	28173.14864	0.132648812
2021-06-11	27953.44534	0.130844912
2021-06-12	25350.89912	0.134938517
2021-06-13	23776.97497	0.12620944
2021-06-14	24436.59957	0.128406205
2021-06-15	25358.73334	0.138897926
2021-06-16	29310.85643	0.156417167
2021-06-17	31506.0488	0.151206777
2021-06-18	31038.84801	0.147759684
2021-06-19	29577.12703	0.149438061
2021-06-20	23548.23931	0.139341869
2021-06-21	27299.55383	0.150082055
2021-06-22	29377.80921	0.155841331
2021-06-23	35356.82263	0.172072511
2021-06-24	38980.8484	0.183940081
2021-06-25	39269.88282	0.182438852
2021-06-26	37452.39535	0.167413909
2021-06-27	34279.84659	0.158485557
2021-06-28	35454.92734	0.187203012
2021-06-29	39912.48151	0.207111626
2021-06-30	37317.71192	0.206844879
2021-07-01	26389.06154	0.175158714
2021-07-02	26965.8593	0.163544818
2021-07-03	23087.3413	0.150277691
2021-07-04	21865.77855	0.154309711
2021-07-05	34478.88153	0.202589335
2021-07-06	25477.36391	0.19828594
2021-07-07	23553.54282	0.205729359
2021-07-08	27262.48677	0.19330847
2021-07-09	29603.09107	0.163359255
2021-07-10	27112.09932	0.153586133
2021-07-11	22768.44082	0.145258771
