Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/14/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Qatar,QAT,"Population, male (% of total)",SP.POP.TOTL.MA.ZS,56.48017221,57.33758532,58.29097501,59.23885748,60.09650252,60.85344488,61.46630431,61.98069368,62.49812228,63.10336965,63.82246327,64.7058331,65.64216494,66.37514676,66.67360655,66.47670253,65.75254992,64.67389815,63.60063098,62.97136957,63.0075524,63.64761068,64.6039711,65.58669002,66.36579294,66.86042751,67.11163158,67.20044514,67.17517001,67.08402526,66.95904223,66.81046419,66.63309869,66.4249527,66.18424841,65.92176812,65.70272697,65.56909413,65.47613857,65.36387998,65.23111159,64.96213226,64.67234658,64.80333668,65.78285374,67.57221136,69.83797233,72.07428186,73.90355818,75.14426921,75.82715759,76.07337669,76.03807787,75.84276578,75.60830773,75.40349944,75.23387998,75.07328889
Qatar,QAT,"Population, male",SP.POP.TOTL.MA.IN,26763,29484,32796,36560,40605,44808,49077,53486,58249,63655,69895,77274,85685,94413,102480,109296,114302,117993,122172,129288,140995,157938,179209,202977,226609,248106,267059,283815,298119,309841,319023,325695,330178,333165,335617,338479,343168,350538,360400,372213,386342,400742,417563,446227,499196,584407,705630,857419,1026773,1195380,1349478,1484993,1604075,1706821,1795258,1871167,1933363,1981342
Qatar,QAT,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,43.51982779,42.66241468,41.70902499,40.76114252,39.90349748,39.14655512,38.53369569,38.01930632,37.50187772,36.89663035,36.17753673,35.2941669,34.35783506,33.62485324,33.32639345,33.52329747,34.24745008,35.32610185,36.39936902,37.02863043,36.9924476,36.35238932,35.3960289,34.41330998,33.63420706,33.13957249,32.88836842,32.79955486,32.82482999,32.91597474,33.04095777,33.18953581,33.36690131,33.5750473,33.81575159,34.07823188,34.29727303,34.43090587,34.52386143,34.63612002,34.76888841,35.03786774,35.32765342,35.19666332,34.21714626,32.42778864,30.16202767,27.92571814,26.09644182,24.85573079,24.17284241,23.92662331,23.96192213,24.15723422,24.39169227,24.59650056,24.76612002,24.92671111
Qatar,QAT,"Population, female",SP.POP.TOTL.FE.IN,20621,21937,23467,25157,26962,28825,30767,32809,34952,37219,39619,42150,44849,47828,51224,55117,59534,64450,69921,76025,82780,90206,98187,106502,114846,122975,130873,138526,145675,152029,157422,161796,165339,168401,171478,174976,179136,184070,190030,197234,205925,216144,228096,242359,259659,280456,304752,332214,362569,395400,430198,467061,505493,543652,579161,610372,636441,657869
Qatar,QAT,"Population, total",SP.POP.TOTL,47384,51421,56263,61717,67567,73633,79844,86295,93201,100874,109514,119424,130534,142241,153704,164413,173836,182443,192093,205313,223775,248144,277396,309479,341455,371081,397932,422341,443794,461870,476445,487491,495517,501566,507095,513455,522304,534608,550430,569447,592267,616886,645659,688586,758855,864863,1010382,1189633,1389342,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804,2639211
Qatar,QAT,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.70614,,,,,
Qatar,QAT,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.06076,,,,,
Qatar,QAT,Population growth (annual %),SP.POP.GROW,7.123544109,8.176203036,8.999047616,9.252229421,9.056027847,8.597359664,8.098143614,7.769692803,7.698679226,7.911376203,8.218018168,8.662779082,8.895354344,8.588907288,7.750587282,6.735287999,5.57307711,4.832546945,5.154183429,6.655601423,8.610543877,10.33681401,11.14368653,10.94441503,9.832566028,8.320446889,6.98607688,5.953190819,4.95474462,3.99229754,3.106882525,2.291953727,1.632983323,1.213354197,1.096315884,1.246402888,1.70874022,2.328397421,2.91660229,3.396592352,3.929183226,4.072669512,4.558725879,6.436871895,9.717049871,13.07603946,15.55126433,16.3316379,15.51853976,13.53942082,11.22068633,9.245082628,7.760103565,6.465722916,5.361235964,4.412615624,3.495069918,2.665037745
Qatar,QAT,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,74.24133359,72.97989411,71.46793587,69.86610926,68.14667381,66.41426421,64.53490825,62.59031618,60.86097737,59.42971486,58.25431702,57.38624139,55.97024934,54.28074798,52.60313694,51.16956318,51.18015179,51.16110121,51.25809866,51.52720749,52.00367127,48.51393716,46.04213956,44.27486328,42.81657306,41.42752904,41.99705094,41.86799654,41.36888728,40.79347487,40.21038637,39.50697119,39.08894327,38.87181128,38.63461832,38.27731987,37.79072724,37.09107192,36.36553538,35.79725884,35.44574676,33.18312455,31.39679995,30.05166855,29.01865173,28.17978951,23.17940519,19.71998742,17.48553084,16.10366459,15.23689373,15.51521979,15.60462827,15.78205103,16.0457789,16.25024273,16.34503747,16.36168129
Qatar,QAT,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.277514681,4.965913417,4.706287575,4.465849387,4.266503356,4.091698506,3.876819236,3.67815649,3.505987338,3.351675838,3.23979178,3.19895654,3.188441139,3.199628002,3.234277256,3.281352748,3.12813457,2.956605479,2.77118481,2.59201153,2.420829624,2.245498068,2.111784656,2.004565929,1.913743775,1.835372422,1.817505005,1.803974663,1.795547584,1.795521692,1.809358587,1.857050063,1.899220395,1.931687707,1.949792767,1.948864164,2.016386992,2.088442494,2.164923805,2.241798093,2.316715474,2.155284,2.006024893,1.866159879,1.733878958,1.609947821,1.470934758,1.385301834,1.32420146,1.271606013,1.215910087,1.202240291,1.196599558,1.20476291,1.232588545,1.280815008,1.399016006,1.540875277
